pair_label,lang1,lang2,word1,word2,concept,score,lang1_associations,lang2_associations,lang1_name,lang2_name
NL-ENG,NL,ENG,plafond,roof,roof,3.729487179487181,wit; hoog; boven; huis; schilderen; zoldering; lamp; kamer; dak; laag,house; top; ceiling; shingles; shingle; dog; tiles; fire; chimney; tile; shelter; mouth; rain; tin; hot,Dutch,English
NL-ENG,NL,ENG,mening,belief,belief,3.5477453580901868,opinie; persoonlijk; idee; gedacht; discussie; politiek; uiten; eigen; krant; oordeel,religion; god; faith; system; knowledge; thought; trust; truth; idea; dogma; conviction; christian; believe; tenet; atheism,Dutch,English
NL-ENG,NL,ENG,bereiken,succeed,succeed,3.820512820512819,doel; aankomen; top; telefoon; halen; slagen; bestemming; succes; carrière; behalen,win; success; achieve; fail; accomplish; money; finish; work; complete; business; try; do well; happy; goal; best,Dutch,English
NL-ENG,NL,ENG,middageten,chicken,chicken,0.7427055702917771,warm; lunch; boterhammen; honger; soep; lekker; aardappelen; pauze; boterham; brood,egg; food; soup; bird; feathers; fried; meat; feather; eggs; dinner; rooster; wings; coward; breast; animal,Dutch,English
NL-ENG,NL,ENG,vrolijk,happy,happy,5.394871794871797,blij; lachen; opgewekt; zon; leuk; gelukkig; kind; zingen; aangenaam; happy,sad; smile; glad; joy; content; joyful; cheerful; birthday; fun; satisfied; pleased; joyous; face; elated; love,Dutch,English
NL-ENG,NL,ENG,mist,cloud,cloud,3.223076923076923,nevel; gevaarlijk; winter; gevaar; koud; weer; grijs; nat; herfst; auto,sky; rain; white; fluffy; blue; sun; fog; water; computing; nimbus; puffy; air; grey; shapes; internet,Dutch,English
NL-ENG,NL,ENG,prins,king,king,2.4442970822281165,prinses; koning; paard; kasteel; sprookje; koningshuis; filip; kroon; adel; wit paard,queen; crown; ruler; prince; monarch; royalty; royal; kingdom; throne; kong; chess; knight; jack; rule; castle,Dutch,English
NL-ENG,NL,ENG,orthodontist,doctor,doctor,1.895225464190984,beugel; tandarts; tanden; gebit; blokjes; pijn; duur; beugeltandarts; arts; recht,medicine; nurse; physician; hospital; lawyer; medical; patient; health; sick; who; surgeon; office; healer; medic; coat,Dutch,English
NL-ENG,NL,ENG,meisje,child,child,2.1127320954907183,jongen; vrouw; mooi; lief; jong; klein; rok; geslacht; rokje; kind,baby; kid; young; boy; infant; girl; small; children; parent; mother; toddler; son; play; offspring; innocent,Dutch,English
NL-ENG,NL,ENG,enorm,dumb,antonym,0.1936339522546419,groot; veel; gigantisch; groots; reusachtig; geweldig; erg; reus; berg; fantastisch,stupid; idiot; ass; mute; ignorant; unintelligent; dumber; deaf; smart; silly; silent; moron; person; dunce; thick,Dutch,English
NL-ENG,NL,ENG,slecht,terrific,antonym,0.5384615384615384,goed; weer; niet goed; kwaad; fout; stout; rot; negatief; bedorven; verkeerd,great; wonderful; fantastic; awesome; good; excellent; amazing; fabulous; brilliant; terror; happy; super; wow; fun; exciting,Dutch,English
DE-ENG,DE,ENG,Dach,ceiling,ceiling,3.3923076923538464,Haus; Ziegel; Schutz; rot; Kamin; Sicherheit; Schornstein; Dachdecker; Giebel; Regen,roof; white; floor; top; high; fan; up; glass; house; above; limit; tile; popcorn; paint; debt,German,English
DE-ENG,DE,ENG,Decke,roof,roof,3.3923076923538464,warm; Bett; Zimmer; weiß; Boden; kuscheln; Wärme; kuschelig; Gemütlichkeit; Lampe,house; top; ceiling; shingles; shingle; dog; tiles; fire; chimney; tile; shelter; mouth; rain; tin; hot,German,English
DE-ENG,DE,ENG,Meinung,belief,belief,3.4846153846384613,Diskussion; haben; Idee; Ansicht; Streit; Politik; eigene; meine; Standpunkt; Meinungsfreiheit,religion; god; faith; system; knowledge; thought; trust; truth; idea; dogma; conviction; christian; believe; tenet; atheism,German,English
DE-ENG,DE,ENG,erreichen,succeed,succeed,3.523076923146154,Ziel; Erfolg; ankommen; schaffen; Telefon; ziel; Gewinn; Wunsch; Ergebnis; erzielen,win; success; achieve; fail; accomplish; money; finish; work; complete; business; try; do well; happy; goal; best,German,English
DE-ENG,DE,ENG,Ball,glove,glove,0.4307692306307691,rund; Fußball; Sport; Spiel; spielen; Rund; Spielen; werfen; tanzen; Tanz,hand; leather; mitten; cold; warm; fingers; winter; fit; finger; love; hands; mitt; warmth; box; baseball,German,English
DE-ENG,DE,ENG,Abendessen,chicken,chicken,0.8538461537538461,Familie; Brot; Dinner; Hunger; Wein; Feierabend; Restaurant; Mahlzeit; Essen; gemütlich,egg; food; soup; bird; feathers; fried; meat; feather; eggs; dinner; rooster; wings; coward; breast; animal,German,English
DE-ENG,DE,ENG,fröhlich,happy,happy,5.3000000001384615,glücklich; lachen; heiter; lustig; Lachen; Spaß; Sonne; munter; Glück; Musik,sad; smile; glad; joy; content; joyful; cheerful; birthday; fun; satisfied; pleased; joyous; face; elated; love,German,English
DE-ENG,DE,ENG,Nebel,cloud,cloud,3.107692307576923,Dunst; Herbst; Sicht; herbst; Wetter; Wolken; grau; Winter; kalt; Regen,sky; rain; white; fluffy; blue; sun; fog; water; computing; nimbus; puffy; air; grey; shapes; internet,German,English
DE-ENG,DE,ENG,Prinz,king,king,2.2769230770384614,Prinzessin; Märchen; König; Krone; Monarchie; Adel; Schloss; Königreich; Thronfolger; Traum,queen; crown; ruler; prince; monarch; royalty; royal; kingdom; throne; kong; chess; knight; jack; rule; castle,German,English
DE-ENG,DE,ENG,Mediziner,doctor,doctor,4.884615384753847,Arzt; Krankheit; Doktor; Studium; Krankenhaus; Kittel; weiß; Hilfe; Medikamente; weißer Kittel,medicine; nurse; physician; hospital; lawyer; medical; patient; health; sick; who; surgeon; office; healer; medic; coat,German,English
DE-ENG,DE,ENG,Mädchen,child,child,1.9153846154769232,Junge; Kind; jung; Kleid; Frau; klein; weiblich; rosa; junge; spielen,baby; kid; young; boy; infant; girl; small; children; parent; mother; toddler; son; play; offspring; innocent,German,English
DE-ENG,DE,ENG,klug,dumb,antonym,0.0846153846615384,schlau; intelligent; Schule; gebildet; gescheit; Intelligenz; Bildung; smart; Wissen; Brille,stupid; idiot; ass; mute; ignorant; unintelligent; dumber; deaf; smart; silly; silent; moron; person; dunce; thick,German,English
DE-ENG,DE,ENG,leicht,difficult,antonym,0.0846153846615384,schwer; Feder; einfach; Gewicht; locker; Aufgabe; luftig; beschwingt; fliegen; klein,hard; easy; challenging; not easy; challenge; tough; task; work; trying; complicated; complex; arduous; impossible; strenuous; problem,German,English
SPA-ENG,SPA,ENG,tejado,ceiling,ceiling,4.246153846153846,,roof; white; floor; top; high; fan; up; glass; house; above; limit; tile; popcorn; paint; debt,Spanish,English
SPA-ENG,SPA,ENG,techo,roof,roof,4.246153846153846,casa; tejas; protección; hogar; límite; chapa; cubierta; tejado; alto; azotea,house; top; ceiling; shingles; shingle; dog; tiles; fire; chimney; tile; shelter; mouth; rain; tin; hot,Spanish,English
SPA-ENG,SPA,ENG,opinión,belief,belief,3.4115384615384614,idea; pensamiento; personal; expresión; pensar; ideas; palabras; visión; criterio; dar,religion; god; faith; system; knowledge; thought; trust; truth; idea; dogma; conviction; christian; believe; tenet; atheism,Spanish,English
SPA-ENG,SPA,ENG,ganar,succeed,succeed,3.0884615384615386,perder; vencer; triunfar; competir; juego; premio; triunfo; éxito; lograr; victoria,win; success; achieve; fail; accomplish; money; finish; work; complete; business; try; do well; happy; goal; best,Spanish,English
SPA-ENG,SPA,ENG,pelota,glove,glove,0.8192307692307692,fútbol; juego; deporte; balón; redonda; bola; diversión; esfera; niños; básquetbol,hand; leather; mitten; cold; warm; fingers; winter; fit; finger; love; hands; mitt; warmth; box; baseball,Spanish,English
SPA-ENG,SPA,ENG,cena,chicken,chicken,1.146153846153846,comida; noche; familia; almuerzo; comer; hambre; mesa; rico; alimento; luz,egg; food; soup; bird; feathers; fried; meat; feather; eggs; dinner; rooster; wings; coward; breast; animal,Spanish,English
SPA-ENG,SPA,ENG,alegre,happy,happy,5.111538461538462,feliz; contento; risa; sonrisa; triste; reír; divertido; fiesta; alegría; amor,sad; smile; glad; joy; content; joyful; cheerful; birthday; fun; satisfied; pleased; joyous; face; elated; love,Spanish,English
SPA-ENG,SPA,ENG,niebla,cloud,cloud,2.573076923076923,neblina; humedad; nube; frío; gris; visión; humo; invierno; lluvia; noche,sky; rain; white; fluffy; blue; sun; fog; water; computing; nimbus; puffy; air; grey; shapes; internet,Spanish,English
SPA-ENG,SPA,ENG,Príncipe,king,king,2.0615384615384618,,queen; crown; ruler; prince; monarch; royalty; royal; kingdom; throne; kong; chess; knight; jack; rule; castle,Spanish,English
SPA-ENG,SPA,ENG,médico,doctor,doctor,4.996153846153846,doctor; enfermedad; salud; medicina; hospital; túnica; cura; profesional; enfermo; curar,medicine; nurse; physician; hospital; lawyer; medical; patient; health; sick; who; surgeon; office; healer; medic; coat,Spanish,English
SPA-ENG,SPA,ENG,enorme,dumb,antonym,0.0384615384615384,grande; gigante; inmenso; montaña; amplio; elefante; pequeño; casa; chico; dios,stupid; idiot; ass; mute; ignorant; unintelligent; dumber; deaf; smart; silly; silent; moron; person; dunce; thick,Spanish,English
SPA-ENG,SPA,ENG,discusión,agreement,antonym,0.6384615384615384,pelea; debate; intercambio; argumento; diferencias; enojo; palabras; conflicto; gritos; pleito,contract; handshake; yes; deal; accord; disagreement; compromise; pact; nod; concur; agree; treaty; understanding; sign; mutual,Spanish,English
