ENG	Ontological_Category	Semantic_Field	CMN 1	CMN 2	CMN 3	CMN 4	CMN 5	NL 1	NL 2	NL 3	NL 4	NL 5	SPA 1	SPA 2	SPA 3	SPA 4	SPA 5	DE 1	DE 2	DE 3	DE 4	DE 5	ENG_Associations	ENG_Association_Freqs	CMN 1_Associations	CMN 1_Association_Freqs	CMN 2_Associations	CMN 2_Association_Freqs	CMN 3_Associations	CMN 3_Association_Freqs	CMN 4_Associations	CMN 4_Association_Freqs	CMN 5_Associations	CMN 5_Association_Freqs	NL 1_Associations	NL 1_Association_Freqs	NL 2_Associations	NL 2_Association_Freqs	NL 3_Associations	NL 3_Association_Freqs	NL 4_Associations	NL 4_Association_Freqs	NL 5_Associations	NL 5_Association_Freqs	SPA 1_Associations	SPA 1_Association_Freqs	SPA 2_Associations	SPA 2_Association_Freqs	SPA 3_Associations	SPA 3_Association_Freqs	SPA 4_Associations	SPA 4_Association_Freqs	SPA 5_Associations	SPA 5_Association_Freqs	DE 1_Associations	DE 1_Association_Freqs	DE 2_Associations	DE 2_Association_Freqs	DE 3_Associations	DE 3_Association_Freqs	DE 4_Associations	DE 4_Association_Freqs	DE 5_Associations	DE 5_Association_Freqs
anger			愤怒	怒气				woede	boosheid				ira	enojo				Ärger	Wut				mad; rage; red; fear; management; fury; emotion; frustration; ire; hatred; hot; yell; frown; hate; upset; danger; face; pissed; attack	27; 27; 27; 9; 9; 8; 7; 7; 7; 5; 5; 5; 4; 4; 4; 3; 3; 3; 2	生气; 红色; 小鸟; 怒火; 难过; 情绪; 暴躁; 火; 争吵; 伤身体; 发泄	20; 7; 6; 4; 4; 3; 3; 3; 2; 2; 2	生气; 冲冲; 发火; 愤怒; 发怒; 怒气冲冲; 怒发冲冠; 冲天; 怒火	13; 7; 6; 6; 5; 5; 4; 3; 3							kwaad; boos; rood; kwaadheid; roepen; angst; boosheid; uitbarsting; onmacht; ruzie; agressie; frustratie; aanval; razend; woest; emotie	32; 30; 18; 12; 12; 9; 9; 9; 8; 8; 7; 7; 6; 4; 4; 3	kwaad; woede; rood; kwaadheid; ruzie; roepen; agressie; frustratie; onmacht; boos; ergernis; fronsen; gevoel; opkroppen; slecht; afkeer	32; 27; 15; 14; 12; 9; 7; 5; 4; 3; 3; 3; 3; 3; 3; 2							enojo; furia; rabia; bronca; violencia; odio; rojo; miedo; grito; malo; calentura; calor; dolor; emoción	41; 17; 16; 8; 7; 5; 5; 4; 3; 3; 2; 2; 2; 2	ira; furia; rojo; bronca; rabia; emoción; frustración; malestar; malo; angustia; dolor; maldad; molestia	32; 12; 11; 7; 7; 5; 4; 4; 4; 3; 3; 3; 3									rot; Aggression; Hass; Ärger; ärger; Angst; Emotion; Zorn; Gefühl; Gewalt; Rot	18; 7; 6; 6; 6; 4; 4; 4; 3; 3; 3						
animal	Person/Thing	Animals	动物					dier					animal					Tier					dog; cat; wild; beast; mammal; human; vegetable; pet; horse; mineral; zoo; bird; creature; kingdom; lion; tiger; bear; cow; elephant; fish	33; 24; 12; 10; 10; 9; 8; 7; 6; 6; 5; 4; 4; 4; 4; 4; 3; 3; 3; 3	猫; 植物; 狗; 世界; 动物园; 大象; 人类; 熊猫; 老虎; 长颈鹿; 保护; 狮子; 生物	17; 15; 10; 6; 6; 6; 5; 5; 5; 5; 4; 4; 4									hond; kat; paard; konijn; vogel; muis; vis; beest; olifant; wild; zacht; ezel; huisdier; insect; koe; lief; natuur; stal; aaien; aap	50; 40; 17; 7; 7; 6; 6; 5; 5; 5; 5; 4; 4; 4; 4; 4; 4; 4; 3; 3									perro; gato; bestia; mascota; naturaleza; bruto; caballo; ser; instinto; salvaje; selva; vida	28; 12; 8; 7; 7; 5; 5; 5; 4; 4; 4; 4									Hund; Katze; Lebewesen; Löwe; Pferd; Maus; Mensch; Natur; Tiger	22; 10; 10; 7; 5; 4; 4; 4; 4								
anniversary			纪念日					jubileum					aniversario										wedding; marriage; year; birthday; date; love; celebration; party; present; annual; cake; dinner; ring; yearly; relationship; celebrate; event	39; 20; 19; 18; 17; 13; 12; 9; 7; 6; 6; 6; 6; 5; 4; 3; 3	结婚; 生日; 恋爱; 礼物; 南京大屠杀; 国庆; 庆典; 庆祝	19; 7; 6; 5; 2; 2; 2; 2									feest; 50; huwelijk; oud; viering; trouw; verjaardag; goud; vieren; gouden; 25 jaar; grootouders; eten; diamant	67; 16; 16; 14; 13; 10; 10; 8; 8; 7; 6; 6; 5; 4									cumpleaños; fecha; años; festejo; fiesta; boda; celebración; casamiento; felicidad; regalo; anual	31; 13; 12; 12; 12; 6; 6; 5; 5; 5; 3																		
ant	Person/Thing	Animals	蚂蚁					mier					hormiga					Ameise					insect; hill; small; bug; black; strong; tiny; aunt; worker; bee; colony; Dec; eater; farm; fire; legs; queen; red; termite	29; 24; 24; 22; 8; 7; 6; 5; 5; 4; 4; 4; 4; 4; 4; 4; 4; 4; 4	搬家; 团结; 大象; 小; 动物; 下雨; 上树; 微小; 渺小; 花呗; 虫子; 蚁后; 蝼蚁; 黑色	14; 7; 7; 7; 6; 5; 3; 3; 3; 3; 3; 3; 3; 3									klein; insect; rood; zwart; veel; bos; nest; dier; gras; grond; vergif; bruin; hoop; insekt; kolonie; koningin; poten; suiker; tuin; werken	46; 17; 13; 13; 10; 9; 8; 6; 6; 6; 5; 4; 4; 4; 4; 4; 4; 4; 4; 4									insecto; negra; trabajo; hormiguero; pequeña; picadura; trabajadora; fuerza; chiquita; roja; bicho; chica; hoja; tierra; abeja; colorada; animal	22; 16; 12; 11; 11; 7; 7; 6; 5; 5; 4; 4; 4; 4; 3; 3; 2									Insekt; fleißig; klein; Tier; Ameisenhaufen; Wald; Haufen; Königin; viele; Klein; krabbeln; stark	15; 11; 10; 9; 7; 6; 5; 5; 5; 4; 4; 4								
apartment			公寓					appartement					apartamento					Wohnung					home; house; flat; rent; building; condo; living; small; dwelling; room; complex; loft; roommate; place; block; city; rental; expensive	26; 20; 19; 19; 18; 10; 10; 9; 7; 7; 6; 6; 6; 5; 4; 4; 4; 3	房子; 住宿; 单身; 楼房; 合租; 小区; 房租; 房间; 整洁; 电梯; 高楼; 住; 住所; 公共; 出租	10; 4; 4; 4; 3; 3; 3; 3; 3; 3; 3; 2; 2; 2; 2									klein; flat; huis; hoog; stad; woning; lift; wonen; verdieping; zee; loft; uitzicht; vakantie; blok; duur; etage; geen tuin; gezellig; woonst; gebouw	29; 18; 16; 13; 11; 10; 8; 8; 7; 7; 5; 5; 5; 4; 4; 4; 4; 4; 4; 3									casa; hogar; edificio; vivienda; chico; alquiler; departamento; alto; lugar; encierro; independencia; pequeño; vivir; altura; blanco	32; 16; 14; 8; 7; 6; 6; 5; 4; 3; 3; 3; 3; 2; 2									Zuhause; Haus; Miete; Heim; Familie; Zimmer; Heimat; Sicherheit; wohnen; Apartment; Eigentum; Fenster; Leben; Möbel	15; 13; 9; 5; 4; 4; 3; 3; 3; 2; 2; 2; 2; 2								
apron			围裙					schort					delantal					Schürze					cooking; kitchen; baking; strings; chef; mother; white; flour; mom; woman; cover; food; skirt; tie; barbecue; clothes; grill; piny; ruffles	50; 33; 16; 13; 7; 6; 6; 5; 5; 5; 4; 4; 4; 4; 3; 3; 3; 3; 3	厨房; 妈妈; 做饭; 裙子; 裸体; 油烟; 主妇; 女仆; 家务	24; 19; 9; 4; 4; 3; 2; 2; 2									keuken; koken; vuil; eten; moeder; vrouw; afwas; mama; werken; kuisen; meid; schilderen; wit; vlek; blauw; oma	54; 40; 19; 14; 14; 8; 7; 7; 6; 5; 5; 5; 5; 4; 3; 3									cocina; guardapolvo; escuela; blanco; cocinero; uniforme; protección; cocinera; dental; diente; abuela; alumno; dentista; doctor; guardapolvos; hilo dental	26; 8; 6; 5; 5; 5; 4; 3; 3; 3; 2; 2; 2; 2; 2; 2									Küche; kochen; Kochen; Oma; Mutter; Schutz; backen; Hausfrau; Jäger; Koch; Arbeit; Backen; Dreck	21; 14; 13; 9; 6; 6; 5; 3; 3; 3; 2; 2; 2								
arrival			到来	抵达				aankomst					llegada					Ankunft					departure; airport; come; plane; time; train; baby; here; destination; entrance; late; travel; birth; airplane; flight; now; beginning; end; get there; greeting	28; 25; 20; 14; 13; 11; 9; 9; 8; 6; 6; 6; 5; 4; 4; 4; 3; 3; 3; 3	来到; 欢迎; 迎接; 客人; 春天; 好运; 领导; 幸福; 朋友	12; 9; 6; 5; 5; 4; 4; 3; 3									trein; finish; luchthaven; einde; vertrek; vliegtuig; thuis; reis; vakantie; vliegveld; wielrennen; arriveren; reizen; winnen; uur; wedstrijd; arrivée; bestemming; lijn; sinterklaas	18; 16; 13; 11; 10; 9; 8; 7; 7; 7; 7; 6; 6; 6; 5; 5; 4; 4; 4; 4									meta; fin; arribo; final; carrera; salida; casa; lugar; partida; viaje; alegría; arrivo; entrada; objetivo	17; 11; 8; 6; 5; 5; 4; 4; 4; 4; 3; 3; 3; 3									Zug; Bahnhof; Reise; Flughafen; Abfahrt; Bahn; Zeit; Ziel; Flugzeug; Freude; Uhrzeit; Verspätung; Zuhause; ankommen	14; 9; 8; 7; 5; 4; 4; 4; 3; 3; 3; 3; 3; 3								
arrive	Action/Process	Motion	到达					aankomen					llegar					ankommen					come; destination; here; depart; late; leave; enter; airport; get there; time; show up; train; airplane; early; home; now; on time; travel; appear	21; 14; 14; 13; 11; 10; 9; 8; 8; 7; 6; 6; 5; 5; 5; 5; 5; 5; 4	目的地; 终点; 抵达; 彼岸; 飞机; 目标; 车站; 到了; 地点; 休息; 出发	22; 8; 6; 5; 5; 4; 4; 3; 3; 2; 2									arriveren; verdikken; aanraken; dikker worden; reizen; reis; gewicht; thuis; toekomen; trein; station; bestemming; vliegtuig; aankomst; luchthaven; te laat; vakantie; afvallen; bereiken; bezoek	40; 16; 15; 12; 10; 9; 8; 7; 7; 7; 6; 5; 5; 4; 4; 4; 4; 3; 3; 3									arribar; meta; casa; venir; ir; alcanzar; lograr; destino; lugar; camino; estar; volver; acá; alegría; amor; aparecer; arrivar	13; 11; 10; 10; 9; 7; 7; 6; 6; 4; 4; 4; 2; 2; 2; 2; 2									Zuhause; Reise; Ziel; zu Hause; Zug; Bahnhof; erreichen; ziel; Erleichterung	13; 9; 9; 7; 6; 5; 5; 4; 3								
art			艺术	美术				kunst					arte					kunst	Kunst				painting; sculpture; museum; picture; color; drawing; beauty; music; craft; artist; abstract; creativity; skill; beautiful; brush; design; fine; form; gallery; history	46; 17; 13; 11; 10; 10; 9; 9; 8; 6; 4; 4; 4; 3; 3; 3; 3; 3; 3; 3	音乐; 美术; 绘画; 油画; 美; 文学; 画画; 梵高; 画; 画家; 雕塑; 专业	13; 11; 8; 5; 5; 4; 4; 3; 3; 3; 3; 2	画画; 艺术; 绘画; 老师; 水彩; 素描; 雕塑; 梵高; 画板; 文艺复兴; 油画; 体育	14; 9; 7; 6; 5; 5; 5; 4; 4; 3; 3; 2							schilderij; museum; mooi; schilderen; kunstenaar; muziek; beeld; beeldhouwwerk; galerij; kijken; literatuur; art; artiest; boek; creatief; kleuren; persoonlijk	41; 35; 12; 12; 10; 10; 9; 6; 4; 4; 4; 3; 3; 3; 3; 3; 3									pintura; expresión; cuadro; color; música; cultura; libertad; vida; creación; museo; amor; artista; literatura	26; 18; 12; 11; 11; 7; 6; 6; 4; 4; 3; 3; 3											Museum; Bild; Musik; Malerei; Kultur; Künstler; Bilder; Picasso; malen; Farbe; Kreativität; Skulptur; modern	13; 11; 9; 7; 6; 6; 5; 4; 4; 3; 3; 3; 3						
ashtray			烟灰缸					asbak					cenicero										cigarette; smoke; ash; dirty; smelly; smell; smoker; glass; gross; butts; cigar; car; disgusting	67; 38; 26; 20; 11; 9; 8; 6; 6; 5; 5; 4; 4	抽烟; 香烟; 烟; 二手烟; 烟灰; 玻璃; 烟头; 爸爸; 肺癌	11; 11; 9; 5; 5; 5; 4; 3; 3									sigaret; stank; roken; vies; sigaretten; stinken; vuil; as; rook; café; peuk; stinkt; glas; ongezond	47; 29; 26; 18; 16; 15; 13; 12; 12; 10; 10; 7; 6; 5									cigarrillo; cigarro; fumar; humo; ceniza; cenizas; vidrio; olor; tabaco; colillas; cáncer; antiguo	22; 21; 15; 14; 12; 10; 9; 5; 5; 4; 4; 2																		
atom			原子					atoom					átomo					Atom					bomb; small; science; molecule; nucleus; physics; electron; chemistry; particle; neutron; nuclear; proton; tiny; ant; atomic; Einstein	40; 25; 24; 18; 17; 14; 13; 11; 10; 7; 7; 7; 5; 4; 4; 4	原子弹; 分子; 物理; 质子; 化学; 电子; 粒子; 中子; 夸克; 原子能; 核	18; 16; 12; 10; 8; 6; 6; 4; 4; 3; 3									bom; chemie; klein; atomium; molecule; scheikunde; ion; kernenergie; energie; kern; deeltje; elektron; fysica; oorlog; wetenschap; mol; school	45; 26; 26; 12; 12; 10; 9; 9; 8; 8; 5; 5; 5; 5; 5; 4; 4									química; molécula; protón; neutrón; partícula; ciencia; electrón; materia; núcleo; pequeño; chico; Einstein; energía	15; 13; 8; 7; 7; 6; 6; 6; 4; 4; 3; 3; 3									Chemie; Physik; klein; Bombe; Strom; Kraftwerk; Molekül; Elektron; Proton; Kern; Neutron; Teilchen	14; 12; 8; 7; 7; 6; 6; 5; 5; 4; 3; 3								
attention			注意力	注意				aandacht					atención					Aufmerksamkeit	Achtung				pay; focus; span; deficit; give; listen; school; add; alert; army; disorder; look; notice; stand; whore; child; class; concentrate; eyes; grab	19; 15; 15; 13; 6; 6; 5; 4; 4; 4; 4; 4; 4; 4; 4; 3; 3; 3; 3; 3	集中; 分散; 上课; 不集中; 涣散; 专注; 发散; 学习	37; 13; 6; 5; 5; 4; 2; 2	安全; 小心; 注意力; 提醒; 危险; 事项; 仔细; 听讲; 影响	18; 14; 7; 5; 4; 3; 2; 2; 2							concentratie; luisteren; attentie; opletten; belangstelling; belangrijk; liefde; school; geconcentreerd; interessant; interesse; kijken; kinderen; focus; alert; geven; les; lezen; stil; vragen	28; 19; 18; 16; 7; 6; 6; 6; 5; 5; 5; 5; 5; 4; 3; 3; 3; 3; 3; 3									concentración; cuidado; prestar; alerta; foco; mirar; atender; interés; ojo; alarma; estudiar; importante; inteligencia	11; 8; 8; 7; 5; 5; 4; 4; 4; 3; 3; 3; 3									Konzentration; Defizit; ADHS; Schule; zuhören; schenken; Interesse; Müdigkeit; Zuwendung; aufpassen; wach; Achtsamkeit	15; 7; 6; 5; 5; 4; 3; 3; 3; 3; 3; 2	Gefahr; Vorsicht; Respekt; Stop; Warnung; Aufpassen; Schild; aufpassen; Aufmerksamkeit	21; 20; 14; 6; 6; 4; 4; 4; 3						
