id,source,cueL1_word,cueL1_lang,cueL2_word,cueL2_lang,n_rows,n_cols,row_words,col_words
advantage_cmn1_优势,translation_parallel,advantage,en,优势,zh,21,9,advantage; win; edge; tennis; benefit; disadvantage; gain; take; unfair; better; ahead; cheat; money; plus; privilege; up; fleas; good; lead; perk; above,优势; 劣势; 长处; 优点; 竞争; 好处; 特长; 很大; 成功
advantage_nl1_voordeel,translation_parallel,advantage,en,voordeel,nl,21,19,advantage; win; edge; tennis; benefit; disadvantage; gain; take; unfair; better; ahead; cheat; money; plus; privilege; up; fleas; good; lead; perk; above,voordeel; winst; nadeel; geluk; profijt; positief; korting; geld; nut; beter; koopje; solden; baat; goedkoop; prijs; financieel; leuk; pluspunt; benefit
advantage_spa1_ventaja,translation_parallel,advantage,en,ventaja,es,21,16,advantage; win; edge; tennis; benefit; disadvantage; gain; take; unfair; better; ahead; cheat; money; plus; privilege; up; fleas; good; lead; perk; above,ventaja; beneficio; ganancia; diferencia; ganar; oportunidad; positivo; carrera; aprovechar; desventaja; mejor; negocio; adelantado; adelantarse; adelante; adelanto
advantage_de1_vorteil,translation_parallel,advantage,en,Vorteil,de,21,10,advantage; win; edge; tennis; benefit; disadvantage; gain; take; unfair; better; ahead; cheat; money; plus; privilege; up; fleas; good; lead; perk; above,Vorteil; Nachteil; Gewinn; gut; positiv; besser; Vorsprung; Glück; Nutzen; Tennis
age_cmn1_年龄,translation_parallel,age,en,年龄,zh,21,13,age; old; time; years; young; birthday; era; number; youth; mature; wine; grow older; elderly; epoch; life; period; wisdom; 21; children; death; get old,年龄; 年轻; 岁数; 老人; 年纪; 大小; 性别; 生日; 年老; 年长; 芳龄; 增长; 长大
age_cmn2_年纪,translation_parallel,age,en,年纪,zh,21,10,age; old; time; years; young; birthday; era; number; youth; mature; wine; grow older; elderly; epoch; life; period; wisdom; 21; children; death; get old,年纪; 老人; 大; 岁月; 年龄; 老; 轻轻; 小; 大了; 小孩
age_nl1_leeftijd,translation_parallel,age,en,leeftijd,nl,21,14,age; old; time; years; young; birthday; era; number; youth; mature; wine; grow older; elderly; epoch; life; period; wisdom; 21; children; death; get old,leeftijd; oud; jong; ouderdom; jaren; verjaardag; ervaring; jarig; geboorte; kind; tijd; wijsheid; bejaard; dood
age_spa1_edad,translation_parallel,age,en,edad,es,21,9,age; old; time; years; young; birthday; era; number; youth; mature; wine; grow older; elderly; epoch; life; period; wisdom; 21; children; death; get old,edad; años; viejo; joven; vejez; tiempo; vida; adulto; niño
age_de1_altern,translation_parallel,age,en,altern,de,21,12,age; old; time; years; young; birthday; era; number; youth; mature; wine; grow older; elderly; epoch; life; period; wisdom; 21; children; death; get old,altern; Falten; Großeltern; Rente; Weisheit; Senioren; Tod; Würde; Altenheim; Alter; Altersheim; Demenz
age_de2_zeitalter,translation_parallel,age,en,Zeitalter,de,21,9,age; old; time; years; young; birthday; era; number; youth; mature; wine; grow older; elderly; epoch; life; period; wisdom; 21; children; death; get old,Zeitalter; Geschichte; Ära; Epoche; Mittelalter; Vergangenheit; Jahrhundert; Periode; Zeitgeist
air_cmn1_空气,translation_parallel,air,en,空气,zh,20,10,air; breathe; oxygen; atmosphere; plane; breath; sky; cloud; balloon; light; wind; clean; fresh; supply; clear; gas; music; space; water; airplane,空气; 清新; 呼吸; 氧气; 污染; 二氧化碳; 雾霾; 水; 必需品; 稀薄
air_nl1_lucht,translation_parallel,air,en,lucht,nl,20,18,air; breathe; oxygen; atmosphere; plane; breath; sky; cloud; balloon; light; wind; clean; fresh; supply; clear; gas; music; space; water; airplane,lucht; blauw; wolken; ademen; zon; vliegtuig; vogel; hemel; vervuiling; zuurstof; vrijheid; wind; vliegen; helder; hoog; leven; mooi; regenboog
air_spa1_aire,translation_parallel,air,en,aire,es,20,14,air; breathe; oxygen; atmosphere; plane; breath; sky; cloud; balloon; light; wind; clean; fresh; supply; clear; gas; music; space; water; airplane,aire; puro; oxígeno; respirar; fresco; libre; vida; viento; acondicionado; libertad; limpio; agua; etéreo; cielo
air_de1_luft,translation_parallel,air,en,Luft,de,20,15,air; breathe; oxygen; atmosphere; plane; breath; sky; cloud; balloon; light; wind; clean; fresh; supply; clear; gas; music; space; water; airplane,Luft; atmen; Sauerstoff; Atmen; Wasser; Himmel; Erde; Wind; frisch; Air; Feuer; Flugzeug; Leben; Liebe; O2
alley_cmn1_小巷,translation_parallel,alley,en,小巷,zh,16,13,alley; dark; cat; way; back; lane; street; bowling; narrow; road; city; blind; up; winding; dragon; dumpster,小巷; 巷子; 江南; 狭窄; 雨巷; 弄堂; 丁香花; 幽深; 戴望舒; 油纸伞; 胡同; 黑暗; 伞
alley_cmn2_巷子,translation_parallel,alley,en,巷子,zh,16,12,alley; dark; cat; way; back; lane; street; bowling; narrow; road; city; blind; up; winding; dragon; dumpster,巷子; 胡同; 雨巷; 丁香; 雨; 小巷; 酒香; 弄堂; 深; 狭窄; 窄; 酒
alley_cmn3_弄堂,translation_parallel,alley,en,弄堂,zh,16,9,alley; dark; cat; way; back; lane; street; bowling; narrow; road; city; blind; up; winding; dragon; dumpster,弄堂; 胡同; 小巷; 上海; 四合院; 北京; 巷子; 弄堂里; 江南
alley_nl1_steeg,translation_parallel,alley,en,steeg,nl,16,15,alley; dark; cat; way; back; lane; street; bowling; narrow; road; city; blind; up; winding; dragon; dumpster,steeg; donker; smal; straatje; straat; klein; stad; doodlopend; gevaarlijk; nauw; vuil; bang; duister; eng; gezellig
alley_spa1_callejón,translation_parallel,alley,en,callejón,es,16,13,alley; dark; cat; way; back; lane; street; bowling; narrow; road; city; blind; up; winding; dragon; dumpster,callejón; oscuro; sin salida; salida; calle; oscuridad; cerrado; miedo; peligro; sucio; encierro; peligroso; barrio
alley_de1_gasse,translation_parallel,alley,en,Gasse,de,16,15,alley; dark; cat; way; back; lane; street; bowling; narrow; road; city; blind; up; winding; dragon; dumpster,Gasse; Straße; eng; dunkel; Stadt; Weg; Altstadt; Kopfsteinpflaster; klein; schmal; Häuser; Basel; Dreck; Dunkel; Gassenhauer
ally_cmn1_盟友,translation_parallel,ally,en,盟友,zh,20,13,ally; friend; war; enemy; comrade; partner; alliance; companion; foe; help; axis; dark; team; way; World War II; alley; buddy; cohort; compatriot; pal,盟友; 朋友; 合作; 结盟; 信任; 联盟; 背叛; 伙伴; 利益; 同盟; 战争; 对手; 队友
ally_spa1_aliado,translation_parallel,ally,en,aliado,es,20,9,ally; friend; war; enemy; comrade; partner; alliance; companion; foe; help; axis; dark; team; way; World War II; alley; buddy; cohort; compatriot; pal,aliado; amigo; compañero; guerra; socio; cómplice; enemigo; hermano; compinche
ambition_cmn1_野心,translation_parallel,ambition,en,野心,zh,20,10,ambition; drive; goal; work; success; career; desire; job; dreams; greed; hope; money; blind; focus; future; motivation; college; ego; high; lofty,野心; 勃勃; 欲望; 野心勃勃; 蓬勃; 雄心; 大; 家; 很大; 我
ambition_nl1_ambitie,translation_parallel,ambition,en,ambitie,nl,20,21,ambition; drive; goal; work; success; career; desire; job; dreams; greed; hope; money; blind; focus; future; motivation; college; ego; high; lofty,ambitie; carrière; werk; streven; hogerop; willen; job; doel; geld; top; inzet; macht; man; toekomst; kunnen; vooruitgang; streber; stress; strever; succes; vooruit
ambition_spa1_ambición,translation_parallel,ambition,en,ambición,es,20,13,ambition; drive; goal; work; success; career; desire; job; dreams; greed; hope; money; blind; focus; future; motivation; college; ego; high; lofty,ambición; dinero; poder; deseo; meta; desmedida; egoísmo; querer; riqueza; avaricia; codicia; mía; pecado
ambition_de1_ehrgeiz,translation_parallel,ambition,en,Ehrgeiz,de,20,14,ambition; drive; goal; work; success; career; desire; job; dreams; greed; hope; money; blind; focus; future; motivation; college; ego; high; lofty,Ehrgeiz; Ziel; Karriere; Wille; Erfolg; Motivation; Streber; wichtig; Disziplin; Geld; Sport; anstrengen; Ambition; Fleiß
ambulance_cmn1_救护车,translation_parallel,ambulance,en,救护车,zh,21,9,ambulance; emergency; siren; hospital; accident; paramedic; red; injury; lights; chaser; help; hurt; sick; vehicle; police; white; blood; driver; loud; medic; medical,救护车; 医院; 医生; 急救; 病人; 紧急; 红色; 护士; 生命
ambulance_nl1_ambulance,translation_parallel,ambulance,en,ambulance,nl,21,19,ambulance; emergency; siren; hospital; accident; paramedic; red; injury; lights; chaser; help; hurt; sick; vehicle; police; white; blood; driver; loud; medic; medical,ambulance; sirene; ziekenhuis; ongeval; ziekenwagen; zwaailicht; ziek; lawaai; hulp; ongeluk; snel; ziekte; geel; gewond; dokter; dringend; gevaar; lichten; ziekenauto
ambulance_spa1_ambulancia,translation_parallel,ambulance,en,ambulancia,es,21,14,ambulance; emergency; siren; hospital; accident; paramedic; red; injury; lights; chaser; help; hurt; sick; vehicle; police; white; blood; driver; loud; medic; medical,ambulancia; emergencia; médico; sirena; hospital; accidente; enfermo; salud; urgencia; doctor; dolor; luces; herido; ruido
ambulance_de1_krankenwagen,translation_parallel,ambulance,en,Krankenwagen,de,21,14,ambulance; emergency; siren; hospital; accident; paramedic; red; injury; lights; chaser; help; hurt; sick; vehicle; police; white; blood; driver; loud; medic; medical,Krankenwagen; Unfall; Blaulicht; Notfall; Sanitäter; Sirene; Spital; Ambulanz; Krankenhaus; Rettung; schnell; Auto; Hilfe; laut
amount_cmn1_数量,translation_parallel,amount,en,数量,zh,20,9,amount; money; quantity; total; sum; cost; number; dollar; cash; measure; paid; count; how much; some; much; owed; price; size; volume; large,数量; 多; 质量; 少; 多少; 庞大; 数字; 人口; 很多
amount_cmn2_金额,translation_parallel,amount,en,金额,zh,20,12,amount; money; quantity; total; sum; cost; number; dollar; cash; measure; paid; count; how much; some; much; owed; price; size; volume; large,金额; 钱; 巨大; 银行; 数字; 金融; 货币; 金钱; 钞票; 不足; 买东西; 价格
amount_nl1_hoeveelheid,translation_parallel,amount,en,hoeveelheid,nl,20,21,amount; money; quantity; total; sum; cost; number; dollar; cash; measure; paid; count; how much; some; much; owed; price; size; volume; large,hoeveelheid; aantal; veel; massa; liter; tal; inhoud; maat; water; weinig; getal; gewicht; hoop; gram; grootte; kilogram; recept; dosis; geld; groot; kilo
amount_nl2_bedrag,translation_parallel,amount,en,bedrag,nl,20,18,amount; money; quantity; total; sum; cost; number; dollar; cash; measure; paid; count; how much; some; much; owed; price; size; volume; large,bedrag; geld; som; betalen; rekening; euro; prijs; hoeveelheid; groot; rijk; totaal; winkel; aantal; getal; kopen; kosten; loon; saldo
amount_spa1_cantidad,translation_parallel,amount,en,cantidad,es,20,13,amount; money; quantity; total; sum; cost; number; dollar; cash; measure; paid; count; how much; some; much; owed; price; size; volume; large,cantidad; mucho; calidad; poco; número; volumen; demasiado; dinero; varios; contar; cosas; peso; plata
amount_spa2_importe,translation_parallel,amount,en,importe,es,20,10,amount; money; quantity; total; sum; cost; number; dollar; cash; measure; paid; count; how much; some; much; owed; price; size; volume; large,importe; dinero; precio; valor; costo; pago; plata; pagar; deuda; importar
amount_spa3_suma,translation_parallel,amount,en,suma,es,20,13,amount; money; quantity; total; sum; cost; number; dollar; cash; measure; paid; count; how much; some; much; owed; price; size; volume; large,suma; resta; más; adición; matemática; agregar; aumenta; multiplicación; operación; cuenta; números; cantidad; matemáticas
amount_spa4_monto,translation_parallel,amount,en,monto,es,20,9,amount; money; quantity; total; sum; cost; number; dollar; cash; measure; paid; count; how much; some; much; owed; price; size; volume; large,monto; dinero; cantidad; plata; suma; precio; caballo; valor; deuda
amount_de1_betrag,translation_parallel,amount,en,Betrag,de,20,9,amount; money; quantity; total; sum; cost; number; dollar; cash; measure; paid; count; how much; some; much; owed; price; size; volume; large,Betrag; Geld; Rechnung; Summe; Kosten; Zahl; bezahlen; zahlen; Anzahl
anger_cmn1_愤怒,translation_parallel,anger,en,愤怒,zh,20,12,anger; mad; rage; red; fear; management; fury; emotion; frustration; ire; hatred; hot; yell; frown; hate; upset; danger; face; pissed; attack,愤怒; 生气; 红色; 小鸟; 怒火; 难过; 情绪; 暴躁; 火; 争吵; 伤身体; 发泄
anger_cmn2_怒气,translation_parallel,anger,en,怒气,zh,20,10,anger; mad; rage; red; fear; management; fury; emotion; frustration; ire; hatred; hot; yell; frown; hate; upset; danger; face; pissed; attack,怒气; 生气; 冲冲; 发火; 愤怒; 发怒; 怒气冲冲; 怒发冲冠; 冲天; 怒火
anger_nl1_woede,translation_parallel,anger,en,woede,nl,20,17,anger; mad; rage; red; fear; management; fury; emotion; frustration; ire; hatred; hot; yell; frown; hate; upset; danger; face; pissed; attack,woede; kwaad; boos; rood; kwaadheid; roepen; angst; boosheid; uitbarsting; onmacht; ruzie; agressie; frustratie; aanval; razend; woest; emotie
anger_nl2_boosheid,translation_parallel,anger,en,boosheid,nl,20,17,anger; mad; rage; red; fear; management; fury; emotion; frustration; ire; hatred; hot; yell; frown; hate; upset; danger; face; pissed; attack,boosheid; kwaad; woede; rood; kwaadheid; ruzie; roepen; agressie; frustratie; onmacht; boos; ergernis; fronsen; gevoel; opkroppen; slecht; afkeer
anger_spa1_ira,translation_parallel,anger,en,ira,es,20,15,anger; mad; rage; red; fear; management; fury; emotion; frustration; ire; hatred; hot; yell; frown; hate; upset; danger; face; pissed; attack,ira; enojo; furia; rabia; bronca; violencia; odio; rojo; miedo; grito; malo; calentura; calor; dolor; emoción
anger_spa2_enojo,translation_parallel,anger,en,enojo,es,20,14,anger; mad; rage; red; fear; management; fury; emotion; frustration; ire; hatred; hot; yell; frown; hate; upset; danger; face; pissed; attack,enojo; ira; furia; rojo; bronca; rabia; emoción; frustración; malestar; malo; angustia; dolor; maldad; molestia
anger_de2_wut,translation_parallel,anger,en,Wut,de,20,12,anger; mad; rage; red; fear; management; fury; emotion; frustration; ire; hatred; hot; yell; frown; hate; upset; danger; face; pissed; attack,Wut; rot; Aggression; Hass; Ärger; ärger; Angst; Emotion; Zorn; Gefühl; Gewalt; Rot
animal_cmn1_动物,translation_parallel,animal,en,动物,zh,21,14,animal; dog; cat; wild; beast; mammal; human; vegetable; pet; horse; mineral; zoo; bird; creature; kingdom; lion; tiger; bear; cow; elephant; fish,动物; 猫; 植物; 狗; 世界; 动物园; 大象; 人类; 熊猫; 老虎; 长颈鹿; 保护; 狮子; 生物
animal_nl1_dier,translation_parallel,animal,en,dier,nl,21,21,animal; dog; cat; wild; beast; mammal; human; vegetable; pet; horse; mineral; zoo; bird; creature; kingdom; lion; tiger; bear; cow; elephant; fish,dier; hond; kat; paard; konijn; vogel; muis; vis; beest; olifant; wild; zacht; ezel; huisdier; insect; koe; lief; natuur; stal; aaien; aap
animal_spa1_animal,translation_parallel,animal,en,animal,es,21,13,animal; dog; cat; wild; beast; mammal; human; vegetable; pet; horse; mineral; zoo; bird; creature; kingdom; lion; tiger; bear; cow; elephant; fish,animal; perro; gato; bestia; mascota; naturaleza; bruto; caballo; ser; instinto; salvaje; selva; vida
animal_de1_tier,translation_parallel,animal,en,Tier,de,21,10,animal; dog; cat; wild; beast; mammal; human; vegetable; pet; horse; mineral; zoo; bird; creature; kingdom; lion; tiger; bear; cow; elephant; fish,Tier; Hund; Katze; Lebewesen; Löwe; Pferd; Maus; Mensch; Natur; Tiger
anniversary_cmn1_纪念日,translation_parallel,anniversary,en,纪念日,zh,18,9,anniversary; wedding; marriage; year; birthday; date; love; celebration; party; present; annual; cake; dinner; ring; yearly; relationship; celebrate; event,纪念日; 结婚; 生日; 恋爱; 礼物; 南京大屠杀; 国庆; 庆典; 庆祝
anniversary_nl1_jubileum,translation_parallel,anniversary,en,jubileum,nl,18,15,anniversary; wedding; marriage; year; birthday; date; love; celebration; party; present; annual; cake; dinner; ring; yearly; relationship; celebrate; event,jubileum; feest; 50; huwelijk; oud; viering; trouw; verjaardag; goud; vieren; gouden; 25 jaar; grootouders; eten; diamant
anniversary_spa1_aniversario,translation_parallel,anniversary,en,aniversario,es,18,12,anniversary; wedding; marriage; year; birthday; date; love; celebration; party; present; annual; cake; dinner; ring; yearly; relationship; celebrate; event,aniversario; cumpleaños; fecha; años; festejo; fiesta; boda; celebración; casamiento; felicidad; regalo; anual
ant_cmn1_蚂蚁,translation_parallel,ant,en,蚂蚁,zh,20,15,ant; insect; hill; small; bug; black; strong; tiny; aunt; worker; bee; colony; Dec; eater; farm; fire; legs; queen; red; termite,蚂蚁; 搬家; 团结; 大象; 小; 动物; 下雨; 上树; 微小; 渺小; 花呗; 虫子; 蚁后; 蝼蚁; 黑色
ant_nl1_mier,translation_parallel,ant,en,mier,nl,20,21,ant; insect; hill; small; bug; black; strong; tiny; aunt; worker; bee; colony; Dec; eater; farm; fire; legs; queen; red; termite,mier; klein; insect; rood; zwart; veel; bos; nest; dier; gras; grond; vergif; bruin; hoop; insekt; kolonie; koningin; poten; suiker; tuin; werken
ant_spa1_hormiga,translation_parallel,ant,en,hormiga,es,20,18,ant; insect; hill; small; bug; black; strong; tiny; aunt; worker; bee; colony; Dec; eater; farm; fire; legs; queen; red; termite,hormiga; insecto; negra; trabajo; hormiguero; pequeña; picadura; trabajadora; fuerza; chiquita; roja; bicho; chica; hoja; tierra; abeja; colorada; animal
ant_de1_ameise,translation_parallel,ant,en,Ameise,de,20,13,ant; insect; hill; small; bug; black; strong; tiny; aunt; worker; bee; colony; Dec; eater; farm; fire; legs; queen; red; termite,Ameise; Insekt; fleißig; klein; Tier; Ameisenhaufen; Wald; Haufen; Königin; viele; Klein; krabbeln; stark
apartment_cmn1_公寓,translation_parallel,apartment,en,公寓,zh,19,16,apartment; home; house; flat; rent; building; condo; living; small; dwelling; room; complex; loft; roommate; place; block; city; rental; expensive,公寓; 房子; 住宿; 单身; 楼房; 合租; 小区; 房租; 房间; 整洁; 电梯; 高楼; 住; 住所; 公共; 出租
apartment_nl1_appartement,translation_parallel,apartment,en,appartement,nl,19,21,apartment; home; house; flat; rent; building; condo; living; small; dwelling; room; complex; loft; roommate; place; block; city; rental; expensive,appartement; klein; flat; huis; hoog; stad; woning; lift; wonen; verdieping; zee; loft; uitzicht; vakantie; blok; duur; etage; geen tuin; gezellig; woonst; gebouw
apartment_spa1_apartamento,translation_parallel,apartment,en,apartamento,es,19,16,apartment; home; house; flat; rent; building; condo; living; small; dwelling; room; complex; loft; roommate; place; block; city; rental; expensive,apartamento; casa; hogar; edificio; vivienda; chico; alquiler; departamento; alto; lugar; encierro; independencia; pequeño; vivir; altura; blanco
apartment_de1_wohnung,translation_parallel,apartment,en,Wohnung,de,19,15,apartment; home; house; flat; rent; building; condo; living; small; dwelling; room; complex; loft; roommate; place; block; city; rental; expensive,Wohnung; Zuhause; Haus; Miete; Heim; Familie; Zimmer; Heimat; Sicherheit; wohnen; Apartment; Eigentum; Fenster; Leben; Möbel
apron_cmn1_围裙,translation_parallel,apron,en,围裙,zh,20,10,apron; cooking; kitchen; baking; strings; chef; mother; white; flour; mom; woman; cover; food; skirt; tie; barbecue; clothes; grill; piny; ruffles,围裙; 厨房; 妈妈; 做饭; 裙子; 裸体; 油烟; 主妇; 女仆; 家务
apron_nl1_schort,translation_parallel,apron,en,schort,nl,20,17,apron; cooking; kitchen; baking; strings; chef; mother; white; flour; mom; woman; cover; food; skirt; tie; barbecue; clothes; grill; piny; ruffles,schort; keuken; koken; vuil; eten; moeder; vrouw; afwas; mama; werken; kuisen; meid; schilderen; wit; vlek; blauw; oma
apron_spa1_delantal,translation_parallel,apron,en,delantal,es,20,17,apron; cooking; kitchen; baking; strings; chef; mother; white; flour; mom; woman; cover; food; skirt; tie; barbecue; clothes; grill; piny; ruffles,delantal; cocina; guardapolvo; escuela; blanco; cocinero; uniforme; protección; cocinera; dental; diente; abuela; alumno; dentista; doctor; guardapolvos; hilo dental
apron_de1_schürze,translation_parallel,apron,en,Schürze,de,20,14,apron; cooking; kitchen; baking; strings; chef; mother; white; flour; mom; woman; cover; food; skirt; tie; barbecue; clothes; grill; piny; ruffles,Schürze; Küche; kochen; Kochen; Oma; Mutter; Schutz; backen; Hausfrau; Jäger; Koch; Arbeit; Backen; Dreck
arrival_cmn1_到来,translation_parallel,arrival,en,到来,zh,21,10,arrival; departure; airport; come; plane; time; train; baby; here; destination; entrance; late; travel; birth; airplane; flight; now; beginning; end; get there; greeting,到来; 来到; 欢迎; 迎接; 客人; 春天; 好运; 领导; 幸福; 朋友
arrival_nl1_aankomst,translation_parallel,arrival,en,aankomst,nl,21,21,arrival; departure; airport; come; plane; time; train; baby; here; destination; entrance; late; travel; birth; airplane; flight; now; beginning; end; get there; greeting,aankomst; trein; finish; luchthaven; einde; vertrek; vliegtuig; thuis; reis; vakantie; vliegveld; wielrennen; arriveren; reizen; winnen; uur; wedstrijd; arrivée; bestemming; lijn; sinterklaas
arrival_spa1_llegada,translation_parallel,arrival,en,llegada,es,21,15,arrival; departure; airport; come; plane; time; train; baby; here; destination; entrance; late; travel; birth; airplane; flight; now; beginning; end; get there; greeting,llegada; meta; fin; arribo; final; carrera; salida; casa; lugar; partida; viaje; alegría; arrivo; entrada; objetivo
arrival_de1_ankunft,translation_parallel,arrival,en,Ankunft,de,21,15,arrival; departure; airport; come; plane; time; train; baby; here; destination; entrance; late; travel; birth; airplane; flight; now; beginning; end; get there; greeting,Ankunft; Zug; Bahnhof; Reise; Flughafen; Abfahrt; Bahn; Zeit; Ziel; Flugzeug; Freude; Uhrzeit; Verspätung; Zuhause; ankommen
arrive_cmn1_到达,translation_parallel,arrive,en,到达,zh,20,12,arrive; come; destination; here; depart; late; leave; enter; airport; get there; time; show up; train; airplane; early; home; now; on time; travel; appear,到达; 目的地; 终点; 抵达; 彼岸; 飞机; 目标; 车站; 到了; 地点; 休息; 出发
arrive_nl1_aankomen,translation_parallel,arrive,en,aankomen,nl,20,21,arrive; come; destination; here; depart; late; leave; enter; airport; get there; time; show up; train; airplane; early; home; now; on time; travel; appear,aankomen; arriveren; verdikken; aanraken; dikker worden; reizen; reis; gewicht; thuis; toekomen; trein; station; bestemming; vliegtuig; aankomst; luchthaven; te laat; vakantie; afvallen; bereiken; bezoek
arrive_spa1_llegar,translation_parallel,arrive,en,llegar,es,20,18,arrive; come; destination; here; depart; late; leave; enter; airport; get there; time; show up; train; airplane; early; home; now; on time; travel; appear,llegar; arribar; meta; casa; venir; ir; alcanzar; lograr; destino; lugar; camino; estar; volver; acá; alegría; amor; aparecer; arrivar
arrive_de1_ankommen,translation_parallel,arrive,en,ankommen,de,20,10,arrive; come; destination; here; depart; late; leave; enter; airport; get there; time; show up; train; airplane; early; home; now; on time; travel; appear,ankommen; Zuhause; Reise; Ziel; zu Hause; Zug; Bahnhof; erreichen; ziel; Erleichterung
art_cmn1_艺术,translation_parallel,art,en,艺术,zh,21,13,art; painting; sculpture; museum; picture; color; drawing; beauty; music; craft; artist; abstract; creativity; skill; beautiful; brush; design; fine; form; gallery; history,艺术; 音乐; 美术; 绘画; 油画; 美; 文学; 画画; 梵高; 画; 画家; 雕塑; 专业
art_cmn2_美术,translation_parallel,art,en,美术,zh,21,13,art; painting; sculpture; museum; picture; color; drawing; beauty; music; craft; artist; abstract; creativity; skill; beautiful; brush; design; fine; form; gallery; history,美术; 画画; 艺术; 绘画; 老师; 水彩; 素描; 雕塑; 梵高; 画板; 文艺复兴; 油画; 体育
art_nl1_kunst,translation_parallel,art,en,kunst,nl,21,18,art; painting; sculpture; museum; picture; color; drawing; beauty; music; craft; artist; abstract; creativity; skill; beautiful; brush; design; fine; form; gallery; history,kunst; schilderij; museum; mooi; schilderen; kunstenaar; muziek; beeld; beeldhouwwerk; galerij; kijken; literatuur; art; artiest; boek; creatief; kleuren; persoonlijk
art_spa1_arte,translation_parallel,art,en,arte,es,21,14,art; painting; sculpture; museum; picture; color; drawing; beauty; music; craft; artist; abstract; creativity; skill; beautiful; brush; design; fine; form; gallery; history,arte; pintura; expresión; cuadro; color; música; cultura; libertad; vida; creación; museo; amor; artista; literatura
art_de2_kunst,translation_parallel,art,en,Kunst,de,21,14,art; painting; sculpture; museum; picture; color; drawing; beauty; music; craft; artist; abstract; creativity; skill; beautiful; brush; design; fine; form; gallery; history,Kunst; Museum; Bild; Musik; Malerei; Kultur; Künstler; Bilder; Picasso; malen; Farbe; Kreativität; Skulptur; modern
ashtray_cmn1_烟灰缸,translation_parallel,ashtray,en,烟灰缸,zh,14,10,ashtray; cigarette; smoke; ash; dirty; smelly; smell; smoker; glass; gross; butts; cigar; car; disgusting,烟灰缸; 抽烟; 香烟; 烟; 二手烟; 烟灰; 玻璃; 烟头; 爸爸; 肺癌
