ID_x	ENG 1	ENG 2	PoS_x	CMN 1	CMN 2	SPA 1	SPA 2	NL 1	NL 2	DE 1	DE 2	CMN	ENG	SPA	scores	NL	DE	ENG 1_Associations	ENG 1_Association_Freqs	ENG 2_Associations	ENG 2_Association_Freqs	CMN 1_Associations	CMN 1_Association_Freqs	CMN 2_Associations	CMN 2_Association_Freqs	DE 1_Associations	DE 1_Association_Freqs	DE 2_Associations	DE 2_Association_Freqs	NL 1_Associations	NL 1_Association_Freqs	NL 2_Associations	NL 2_Association_Freqs	SPA 1_Associations	SPA 1_Association_Freqs	SPA 2_Associations	SPA 2_Association_Freqs
367	depth	magnitude	nouns	深度	大小	profundidad	magnitud	diepte	omvang	Tiefe	Ausmaß	0.8181818181818182	2.230769230769231	1.1	1.4351398601398602	2.13333333333333	2.5384615386	ocean; deep; water; breadth; width; height; sea; pool; dark; length; thought; charge; mind; perception; shallow	27; 23; 22; 13; 12; 11; 10; 8; 7; 7; 6; 5; 5; 5; 5	earthquake; size; big; large; huge; great; important; measurement; scale; level; measure; order; scope; severity; enormous; immense; impact; importance; largeness; magnet	35; 27; 15; 12; 9; 6; 5; 5; 5; 4; 4; 4; 4; 4; 3; 3; 3; 3; 3; 3	思想; 广度; 思考; 海洋; 知识; 宽度; 高度; 交流; 内涵	14; 8; 5; 5; 4; 3; 3; 2; 2	尺寸; 多少; 长短; 年龄; 比较; 形状; 体积; 高矮; 合适	13; 8; 8; 5; 5; 4; 3; 3; 2	Meer; Höhe; dunkel; Ozean; Loch; Schlucht; Abgrund; Breite; Dunkelheit; Höhle; Seele; Wasser; Angst	23; 10; 8; 6; 4; 4; 3; 3; 3; 3; 3; 3; 2	Katastrophe; Größe; Umfang; groß; Folgen; Schaden; abschätzen; menge; viel; Ausdehnung; Breite	18; 13; 6; 5; 4; 3; 3; 3; 3; 2; 2	zee; put; vallen; ravijn; afgrond; dal; donker; hoogte; oceaan; berg; bergen; duiken; hoogtevrees; gat; kloof; diep; meter; water; gevaar; koud	19; 16; 13; 12; 11; 11; 11; 10; 9; 8; 8; 7; 7; 6; 6; 5; 5; 5; 4; 4	grootte; dik; groot; omtrek; dikte; inhoud; rond; cirkel; maat; ramp; veel; groote; massa; meten; aarde; breedte; buik; groots; hoeveelheid; impact	50; 37; 17; 17; 10; 6; 6; 5; 5; 5; 5; 4; 4; 4; 3; 3; 3; 3; 3; 3	hondo; mar; pozo; océano; oscuro; abismo; pensamiento; oscuridad; abajo; agua	13; 11; 10; 7; 7; 6; 6; 3; 2; 2	tamaño; grande; medida; grandeza; gigante; dimensión; enorme; gran; inmensidad; muchos	19; 16; 12; 10; 5; 3; 3; 3; 3; 3
387	cancer	sickness	nouns	癌症	疾病	cáncer	enfermedad	kanker	ziekte	Krebs	Krankheit	3.909090909090909	2.5384615384615383	2.9	2.865326340326341	3.7	3.3230769228	death; disease; sick; tumor; chemotherapy; crab; breast; pain; sickness; bad; illness; cure; hospital; stars; cells; chem; lung; research; dead; deadly	29; 23; 13; 12; 10; 10; 8; 8; 7; 6; 6; 5; 5; 5; 4; 4; 4; 4; 3; 3	health; ill; illness; disease; death; flu; hospital; medicine; vomit; cold; pain; cough; green; bed; cancer	29; 29; 26; 22; 13; 12; 9; 8; 8; 6; 6; 5; 5; 4; 4	死亡; 化疗; 医院; 绝症; 治疗; 病床; 可怕; 绝望; 肿瘤; 胃癌; 亲人; 悲伤	15; 13; 8; 5; 4; 4; 3; 3; 3; 3; 2; 2	治疗; 痛苦; 医院; 医生; 癌症; 死亡; 药物; 健康; 感冒; 生病	11; 11; 9; 8; 8; 6; 5; 3; 3; 3	Krankheit; Tier; Sternzeichen; Tod; Meer; krank; Tumor; Meerestier; rot; Angst; Brustkrebs	29; 22; 12; 10; 5; 5; 4; 3; 3; 2; 2	Arzt; Krankenhaus; Bett; Gesundheit; Unwohlsein; Fieber; Husten; Tod; schlecht; Grippe; Krebs	13; 10; 8; 7; 6; 4; 4; 4; 4; 3; 3	dood; ziekte; ziek; pijn; chemo; erg; lijden; sterven; verdriet; dodelijk; ongeneeslijk; ziekenhuis; gezwel; borst; vreselijk; angst; chemotherapie; genezen	43; 42; 20; 16; 13; 7; 7; 7; 7; 6; 6; 6; 5; 4; 4; 3; 3; 3	dokter; pijn; kanker; ziekenhuis; bed; dood; koorts; medicijnen; griep; moe; genezen; slecht; thuis; verdriet; medicatie; vervelend; erg; niet leuk; pillen; sterven	23; 22; 18; 17; 15; 14; 12; 9; 7; 7; 6; 5; 5; 5; 4; 4; 3; 3; 3; 3	enfermedad; muerte; mama; signo; tumor; cangrejo; dolor; horóscopo; triste	42; 16; 5; 5; 5; 4; 4; 4; 3	dolor; hospital; remedios; salud; enfermo; médico; tristeza; covid; cura; curar; gripe	11; 10; 6; 6; 4; 4; 4; 3; 3; 3; 3
388	club	society	nouns	俱乐部	社会	club	sociedad	club	vereniging	Club	Verein	0.0	4.6923076923076925	2.9	2.4236013986013987	6.6551724137931	5.030769231	golf; group; dance; association; bat; hit; sandwich; weapon; house; night; bar; country; party; beat; caveman; card; exclusive; join; music; organization	19; 17; 14; 9; 9; 9; 8; 8; 7; 7; 6; 6; 6; 5; 5; 4; 4; 4; 4; 4	people; group; high; culture; community; social; association; class; friends; civilization; change; club; pages; party; polite; politics; rules; sociology; upper; at large	27; 25; 15; 13; 9; 9; 6; 6; 5; 4; 3; 3; 3; 3; 3; 3; 3; 3; 3; 2	足球; 游戏; 会员; club; 有钱人; 乒乓球; 体育; 健身; 台球; 场所; 小神龙; 开心	11; 5; 4; 3; 3; 2; 2; 2; 2; 2; 2; 2	复杂; 人; 工作; 主义; 社交; 和谐; 问题; 人文; 人际关系; 大学; 安全	14; 7; 5; 4; 4; 3; 3; 2; 2; 2; 2	Party; Musik; Tanzen; Verein; tanzen; Alkohol; Disco; Sport; Fußball	16; 11; 8; 7; 7; 6; 5; 5; 4	Sport; Fußball; Gruppe; Gemeinschaft; Musik; Vorstand; Hobby; Team; Zusammenhalt; Club	25; 9; 7; 6; 4; 4; 3; 3; 3; 2	sport; voetbal; vereniging; groep; vrienden; golf; gezellig; zetel; samen; tennis; ploeg; hobby; sandwich; team; dansen; kaarten; leden; privé; betalen; bijeenkomst	31; 21; 18; 15; 13; 9; 8; 8; 7; 7; 5; 4; 4; 4; 3; 3; 3; 3; 2; 2	club; groep; samen; sport; leden; unie; vrienden; organisatie; scouts; mensen; vzw; hobby; samenkomst; sociaal; vergadering; chiro; liga; plezier; samenzijn; amusement	25; 20; 13; 12; 9; 9; 9; 7; 7; 6; 6; 5; 5; 5; 5; 4; 4; 4; 4; 3	deporte; amigos; fútbol; asociación; baile; salud; social; ejercicio; familia; gimnasio; grupo; música; nocturno; River; barrio; boca	25; 10; 9; 6; 6; 6; 6; 3; 3; 3; 3; 3; 3; 3; 2; 2	gente; personas; grupo; cultura; ciudad; comunidad; conjunto; convivencia; estado; organización; civil; multitud; país	20; 17; 10; 7; 5; 5; 4; 4; 4; 4; 3; 3; 3
453	value	belief	nouns	价值观	信念	valor	creencia	waarde	geloof	Wert	Glaube	3.5454545454545454	2.6153846153846154	2.0	1.9687062937062925	1.83870967741935	1.1538461538	worth; money; cost; price; added; cherish; appreciate; care; good; quality; dollar; esteem; high; amount; appraise; bargain; cheap; expense; friend	41; 33; 18; 17; 7; 6; 4; 4; 4; 4; 3; 3; 3; 2; 2; 2; 2; 2; 2	religion; God; faith; system; thought; knowledge; trust; truth; conviction; dogma; idea; values; feeling; hope; thoughts; true; understanding; atheist; believe	39; 33; 28; 10; 8; 6; 6; 6; 4; 4; 4; 4; 3; 3; 3; 3; 3; 2; 2	三观; 人生观; 世界观; 社会主义; 三观不正; 核心; 正确; 一致; 价值	16; 13; 12; 7; 3; 3; 3; 2; 2	坚持; 坚定; 信仰; 理想; 想法; 成功; 佛教; 信心; 初心	17; 15; 9; 4; 3; 3; 2; 2; 2	Geld; Preis; wertvoll; Gold; Wertschätzung; Bedeutung; Besitz; Gegenstand; Immobilie	28; 7; 6; 4; 3; 2; 2; 2; 2	Gott; Kirche; Religion; Hoffnung; Liebe; beten; Beten; Ethik; Extremismus	28; 22; 20; 13; 6; 4; 2; 2; 2	geld; norm; belang; duur; prijs; belangrijk; emotioneel; kunst; betekenis; bezit; goud; kostprijs; euro; getal; gevoel; juwelen; kwaliteit; liefde; nut; opvoeding	66; 14; 9; 9; 9; 6; 6; 5; 4; 4; 4; 4; 3; 3; 3; 3; 3; 3; 3; 3	kerk; god; godsdienst; religie; katholiek; hoop; houvast; vertrouwen; islam; pastoor; bijbel; bidden; christendom; mensen; mis	46; 39; 16; 15; 14; 8; 6; 6; 5; 5; 4; 3; 3; 3; 3	precio; coraje; dinero; costo; fuerza; importancia; valentía; valiente; arrojo; plata; amor; calidad; confianza; corage	20; 19; 16; 7; 5; 4; 4; 4; 3; 3; 2; 2; 2; 2	religión; fe; dios; convicción; pensamiento; ideología; mito; religiosa; creer	36; 25; 14; 4; 4; 3; 3; 3; 2
464	proof	fact	nouns	证明	事实	prueba	hecho	bewijs	feit	Beweis	Tatsache	0.8181818181818182	2.230769230769231	2.5	2.3033216783216783	5.27586206896552	3.7384615386	evidence; alcohol; pudding; read; truth; math; court; law; geometry; science; logic; theory; argument; paper; positive; theorem; body; check; concept; copy	43; 14; 11; 9; 8; 7; 6; 6; 5; 5; 4; 4; 3; 3; 3; 3; 2; 2; 2; 2	truth; fiction; true; real; known; knowledge; data; information; item; reality; science; factoid; false; news; proof; proven; book; indisputable; matter; story	37; 34; 15; 8; 7; 7; 6; 6; 5; 5; 5; 4; 4; 4; 4; 4; 3; 3; 3; 3	证据; 数学; 证实; 定理; 清白; 解; 身份; 逻辑; 严谨; 事件; 出生; 实习; 实验	9; 8; 4; 3; 3; 3; 3; 3; 2; 2; 2; 2; 2	真相; 真实; 如此; 实事求是; 案件; 证明; 雄辩; 事件; 事情	23; 6; 4; 3; 3; 3; 3; 2; 2	Gericht; Polizei; Indiz; Mathematik; Nachweis; Detektiv; Foto; Verbrechen; Alibi	15; 10; 5; 5; 5; 4; 4; 4; 3	Fakt; Wahrheit; Realität; Beweis; Objektivität; wirklich; Fakten; Gegebenheit; Ist	34; 13; 11; 3; 3; 3; 2; 2; 2	wiskunde; rijbewijs; papier; rechtbank; gerecht; betaling; politie; proef; gelijk; misdaad; rechtzaak; advocaat; akte; attest; goed gedrag; materiaal; waarheid; aankoop; advokaat; argument	18; 16; 10; 10; 8; 7; 7; 7; 6; 5; 5; 4; 4; 4; 4; 4; 4; 3; 3; 3	gebeurtenis; waarheid; krant; vaststaand; zekerheid; echt; fictie; gegeven; objectief; realiteit; zeker; bewijs; nieuws; waar; bewezen; mening; zaak; daad; iets; politie	17; 14; 11; 10; 9; 8; 8; 8; 7; 7; 7; 6; 6; 6; 5; 5; 5; 4; 4; 4	examen; test; evaluación; desafío; intento; difícil; ensayo; experimento; meta; superar; conocimiento; control; de ingreso	28; 12; 10; 4; 4; 3; 3; 3; 3; 3; 2; 2; 2	terminado; suceso; hacer; acción; realizado; pasado; realidad; acontecimiento; listo; acto; pronto; real; concluido; concreto	17; 11; 9; 8; 7; 6; 6; 5; 5; 4; 4; 4; 3; 3
487	crime	fraud	nouns	犯罪	诈骗	delito	fraude	misdaad	fraude	Vergehen	Betrug	2.8181818181818183	2.3076923076923075	3.0	3.038519813519814	4.06896551724138	1.8461538462	police; punishment; criminal; jail; bad; law; gun; illegal; murder; steal; spree; theft; victim; black; prison; wrong; arson; dangerous; felony; gang	23; 22; 18; 14; 12; 11; 9; 9; 9; 6; 5; 5; 5; 4; 4; 4; 3; 3; 3; 3	fake; cheat; money; lie; steal; liar; crime; criminal; scam; bank; con; thief; deceit; trick; court; deception; illegal; theft; bad; charlatan	23; 21; 20; 18; 14; 10; 9; 9; 8; 6; 6; 6; 5; 5; 4; 4; 4; 4; 3; 3	警察; 监狱; 罪犯; 杀人; 坐牢; 心理; 罪恶; 法律; 犯人; 吴亦凡; 嫌疑人; 分子; 判刑; 坏人; 强奸; 惩罚	14; 11; 11; 8; 5; 5; 5; 4; 4; 3; 3; 2; 2; 2; 2; 2	骗子; 电话; 犯罪; 电信; 欺骗; 团伙; 犯; 欺诈; 集团	14; 13; 11; 8; 6; 5; 4; 3; 3	Strafe; Straftat; Fehler; Verbrechen; Diebstahl; Gericht; Kriminell; Tod; Zeit; Bestrafung; Delikt	8; 8; 5; 5; 4; 4; 3; 3; 3; 2; 2	Geld; Strafe; Verbrechen; gemein; Beziehung; Fremdgehen; Gauner; Lüge; Lügen; Polizei; Straftat; Verrat; Vertrauensbruch	15; 4; 4; 4; 3; 3; 3; 3; 3; 3; 3; 3; 3	moord; politie; diefstal; crimineel; straf; gevangenis; criminaliteit; slecht; dood; geweld; bloed; gerecht; misdadiger; misdrijf; pijn; stelen; dief; fout; gevang; rechtbank	31; 17; 15; 13; 13; 11; 10; 8; 7; 6; 5; 4; 4; 4; 4; 4; 3; 3; 3; 3	geld; belasting; bedrog; bank; oneerlijk; vals; misbruik; politiek; diefstal; rijken; fout; slecht; bedriegen; belastingsontduiking; corruptie; misdaad; oplichting; strafbaar; valsheid; valsspelen	36; 20; 15; 14; 11; 9; 7; 7; 5; 5; 4; 4; 3; 3; 3; 3; 3; 3; 3; 3	robo; crimen; cárcel; ladrón; policía; malo; hurto; ilegal; prisión; asalto; derechoc humanos; ley; asesinato	25; 15; 13; 7; 7; 6; 5; 4; 4; 3; 3; 3; 2	engaño; estafa; mentira; robo; política; delito; falso; electoral; error; fiscal; trampa; amplio	17; 17; 12; 10; 6; 5; 5; 3; 3; 3; 3; 2
506	danger	threat	nouns	危险	威胁	peligro	amenaza	gevaar	bedreiging	Gefahr	Bedrohung	3.727272727272727	4.769230769230769	4.2	4.447435897435898	7.16129032258065	5.3538461538	fear; warning; caution; red; stranger; Will Robinson; risk; scary; hazard; mouse; careful; fire; harm; zone; beware; run; stop; trouble; death; hurt	16; 13; 12; 10; 10; 10; 8; 8; 7; 7; 6; 6; 6; 6; 5; 5; 5; 5; 4; 4	danger; fear; bad; violence; gun; risk; bully; warning; level; scary; war; kill; knife; scared; scare; anger; attack; bomb; fight; harm	33; 12; 9; 8; 7; 7; 6; 6; 5; 5; 5; 4; 4; 4; 4; 3; 3; 3; 3; 3	安全; 悬崖; 生命; 事故; 关系; 火; 紧张; danger; 人物; 刀; 危机; 地震; 害怕	10; 5; 5; 3; 3; 3; 3; 2; 2; 2; 2; 2; 2	害怕; 绑架; 刀; 恐吓; 胁迫; 刀子; 勒索; 安全; 恐惧	8; 6; 5; 5; 5; 3; 3; 3; 3	Angst; Vorsicht; Achtung; Flucht; Bedrohung; Feuer; Risiko; Tod; Unfall; Wasser; aufpassen; gefährlich	24; 11; 6; 5; 4; 4; 4; 4; 3; 3; 3; 3	Angst; Gefahr; Krieg; Messer; Gewalt; Terror; Angriff; Furcht; Polizei	26; 15; 8; 6; 4; 4; 3; 3; 3	angst; auto; rood; verkeer; brand; driehoek; oppassen; bord; ongeval; danger; vuur; bang; opletten; ongeluk; pijn; opgepast; paniek; bescherming; dood; drugs	15; 14; 14; 14; 12; 11; 11; 9; 8; 7; 7; 6; 6; 5; 5; 4; 4; 3; 3; 3	gevaar; angst; aanval; donker; geweld; terrorisme; mes; bang; dood; pistool; wapen; schrik; misdaad; man; onheil; vijand; beschermen; brief	34; 30; 8; 8; 8; 8; 7; 6; 6; 6; 6; 5; 4; 3; 3; 3; 2; 2	rojo; cuidado; fuego; miedo; riesgo; atención; muerte; accidente; calavera; caída; electricidad; inseguridad; precaución; amenaza	18; 13; 12; 12; 9; 8; 8; 5; 3; 3; 3; 3; 3; 2	miedo; peligro; temor; alerta; arma; maldad; violencia; cuidado; riesgo; susto; adrenalina; atención; bomba; daño	27; 22; 6; 5; 4; 4; 4; 3; 3; 3; 2; 2; 2; 2
514	intelligence	insight	nouns	智力	洞察力	inteligencia	visión	intelligentie	inzicht	Intelligenz	Einsicht	2.363636363636364	2.3846153846153846	1.2	2.1661421911421894	4.13793103448276	2.2615384614	smart; brain; clever; IQ; knowledge; bright; artificial; genius; wit; book; educated; thinking; wisdom; agency; aptitude; intellect; knowing; science; study	62; 18; 9; 8; 8; 6; 5; 5; 5; 4; 4; 4; 4; 3; 3; 3; 3; 3; 3	knowledge; thought; wisdom; understanding; intuition; wise; idea; mind; vision; knowing; perception; bright; foresight; sight; view; deep; empathy; experience; inside; reflection	19; 14; 12; 11; 10; 8; 7; 6; 6; 5; 5; 4; 4; 4; 4; 3; 3; 3; 3; 3	智商; 聪明; 测验; 测试; 脑子; 天才; 情商; 智慧; 水平; 天赋; 弱智	16; 11; 6; 5; 5; 4; 4; 4; 4; 3; 3	观察; 敏锐; 观察力; 眼睛; 聪明; 仔细; 强大; 洞若观火; 认真; 优秀; 创造力; 力量	17; 14; 8; 5; 5; 3; 3; 3; 3; 2; 2; 2	IQ; Wissen; schlau; Bildung; klug; Gehirn; Test; wissen; Klugheit; Schule; Dummheit; Elite; Emotionale Intelligenz	12; 9; 9; 7; 5; 4; 4; 4; 3; 3; 2; 2; 2	Erkenntnis; Verständnis; verstehen; Besserung; Aussicht; Reflexion; lernen; Akzeptanz; Diskussion; Einblick; Fenster; Intelligenz	11; 9; 5; 4; 3; 3; 3; 2; 2; 2; 2; 2	slim; iq; test; verstand; hersenen; kennis; school; studeren; diploma; dom; hoogbegaafd; verstandig; wijsheid; brein; denken; hoog; ontwikkeling; opleiding; slimheid; studie	56; 35; 10; 10; 7; 7; 7; 5; 4; 4; 4; 4; 4; 3; 3; 3; 3; 3; 3; 3	begrijpen; slim; begrip; kennis; verstand; wiskunde; doorzicht; denken; duidelijk; helder; visie; weten; snappen; doordenken; eureka; nadenken; goed; intelligent; kijk; logica	19; 17; 16; 15; 10; 9; 8; 6; 6; 6; 6; 6; 5; 4; 4; 4; 3; 3; 3; 3	sabiduría; capacidad; cerebro; mente; conocimiento; saber; estudio; artificial; emocional; luz; rapidez; coeficiente; intelecto; intelectual; astucia; comprensión	11; 10; 9; 8; 7; 7; 5; 4; 4; 4; 4; 3; 3; 3; 2; 2	ojos; ver; vista; lentes; futuro; mirada; percepción; perspectiva; sentido; anteojos; horizonte; óptica; color	35; 13; 12; 11; 5; 5; 5; 5; 4; 3; 3; 3; 2
531	physician	doctor	nouns	大夫	医生	médico	doctor	arts	dokter	Mediziner	Arzt	4.818181818181818	4.6923076923076925	5.3	4.909207459207459	6.96551724137931	5.0769230772	doctor; medicine; hospital; medical; health; stethoscope; nurse; office; sick; heal; healer; physical; sickness; white; healing; helper; medic; money; needle	87; 23; 14; 11; 9; 7; 6; 6; 5; 4; 4; 4; 4; 4; 3; 3; 3; 3; 3	medicine; nurse; lawyer; patient; hospital; physician; health; medical; sick; who; coat; office; dentist; surgeon; appointment; fix; healer; illness; smart; stethoscope	25; 23; 12; 12; 11; 11; 10; 10; 10; 9; 5; 5; 4; 4; 3; 3; 3; 3; 3; 3	医生; 医院; 士大夫; 白大褂; 大丈夫; 护士; 治病; 白色; 中医	36; 10; 10; 6; 3; 3; 3; 3; 2	护士; 白大褂; 医院; 病人; 听诊器; 手术; 看病; 医闹; 白衣天使	20; 12; 11; 7; 5; 5; 4; 3; 3	Arzt; Doktor; Krankheit; Studium; Krankenhaus; Kittel; weiß; Hilfe; Medikamente; Praxis; weißer Kittel	33; 8; 8; 8; 6; 4; 4; 3; 3; 3; 3	Doktor; Medizin; Krankenhaus; weiß; Kittel; Krankheit; krank; Hilfe; Wartezimmer; heilen; Klinik; Praxis; Spritze	17; 16; 11; 8; 7; 7; 6; 5; 4; 4; 3; 3; 3	dokter; ziek; ziekte; geneesheer; ziekenhuis; genezen; pijn; medicijnen; wit; specialist; tandarts; huisarts; onderzoek; helpen; medicatie; geneeskunde; gezondheid; spuitje	63; 21; 16; 14; 12; 11; 8; 7; 7; 6; 6; 5; 5; 4; 4; 3; 3; 3	ziek; wit; pijn; ziekte; ziekenhuis; wachten; arts; medicijnen; onderzoek; stethoscoop; genezen; medicatie; spuit; wachtkamer; huisarts; jas; naald; rijk; slim; wachtzaal	31; 27; 18; 13; 9; 8; 7; 7; 6; 6; 5; 5; 5; 5; 4; 4; 4; 4; 4; 4	doctor; enfermedad; salud; medicina; hospital; túnica; cura; profesional; enfermo; remedios; curar; blanco; profesión	25; 18; 14; 10; 9; 7; 6; 6; 5; 5; 4; 3; 3	médico; enfermedad; medicina; salud; hospital; blanco; dolor; profesional; saber; abogado; bata blanca; curar; sanación	31; 12; 10; 9; 7; 6; 5; 4; 4; 3; 3; 3; 3
532	journey	trip	nouns	旅程	旅行	ruta	viaje	reis	uitstapje	Reise	Ausflug	4.090909090909091	5.230769230769231	3.6	4.26923076923077	5.13333333333333	4.2	trip; travel; adventure; band; destination; path; life; trek; long; road; vacation; far; music; quest; believing; hike; train; voyage; abroad; boat	37; 35; 8; 8; 7; 7; 6; 6; 5; 5; 5; 4; 4; 4; 3; 3; 3; 3; 2; 2	fall; vacation; travel; journey; holiday; car; fun; road; acid; plane; voyage; stumble; train; drug; excursion; slip; advisor; beach; clumsy	48; 37; 15; 12; 9; 8; 8; 8; 7; 5; 5; 4; 4; 3; 3; 3; 2; 2; 2	愉快; 旅行; 旅途; 火车; 飞机; 旅游; 漫长; 风景; 一个人; 开心; 携程	7; 7; 7; 6; 5; 4; 4; 4; 3; 3; 3	旅游; 飞机; 火车; 背包; 风景; 一个人; 出国; 日本; 机票; 累; 美景; 包裹; 大海	10; 7; 5; 5; 4; 3; 3; 3; 3; 3; 3; 2; 2	Urlaub; Flugzeug; Meer; Sonne; Auto; Ferien; Strand; Abenteuer; Erfahrung; Erholung; Ferne; Koffer; Kultur	20; 8; 5; 5; 4; 4; 4; 3; 3; 3; 3; 3; 3	Freizeit; Picknick; Natur; Reise; Wald; Familie; Wochenende; wandern; Kinder; Schule; Spaß; Berge; Fahrrad; Ferien; Grüne; Rucksack; Sonntag; Trip	8; 8; 6; 6; 6; 5; 5; 5; 4; 4; 4; 3; 3; 3; 3; 3; 3; 3	zon; vliegtuig; vakantie; ver; koffer; zee; strand; warm; zomer; buitenland; auto; rugzak; cultuur; italië; ontspannend; plezier; weg; genieten; griekenland; mooi weer	34; 30; 26; 12; 9; 9; 8; 8; 8; 7; 6; 5; 4; 4; 4; 4; 4; 3; 3; 3	trip; reisje; leuk; vakantie; weekend; gezellig; kinderen; plezier; bus; dagje uit; trein; zee; excursie; school; vrienden; vrije tijd; schoolreis; speeltuin; stad; uitje	25; 22; 15; 12; 11; 9; 7; 7; 6; 6; 6; 6; 5; 5; 5; 5; 4; 4; 4; 4	camino; viaje; auto; calle; vía; carretera; vacaciones; asfalto; autopista; kilómetros; dirección; larga	32; 20; 18; 17; 8; 6; 4; 3; 3; 3; 2; 2	avión; vacaciones; paseo; playa; diversión; placer; país; valija; auto; conocer; felicidad; paisaje; aventura; descanso; experiencia; lejos; amigos; barco	18; 9; 7; 7; 6; 6; 5; 5; 4; 4; 4; 4; 3; 3; 3; 3; 2; 2
574	wisdom	intelligence	nouns	智慧	智力	sabiduría	inteligencia	wijsheid	intelligentie	Weisheit	Intelligenz	3.909090909090909	3.8461538461538463	3.8	4.062937062937063	6.03448275862069	3.6	old; knowledge; smart; wise; age; experience; beard; teeth; sage; wizard; intelligence; elder; books; brains; calm; clever; intelligent	34; 29; 25; 22; 19; 10; 8; 8; 7; 7; 5; 4; 3; 3; 3; 3; 3	smart; brain; clever; IQ; knowledge; bright; artificial; genius; wit; book; educated; thinking; wisdom; agency; aptitude; intellect; knowing; science; study	62; 18; 9; 8; 8; 6; 5; 5; 5; 4; 4; 4; 4; 3; 3; 3; 3; 3; 3	聪明; 聪慧; 智商; 智者; 大脑; 头脑; 老人; 天才; 老子; 聪颖; IQ; 书	19; 8; 7; 5; 4; 4; 4; 3; 3; 3; 2; 2	智商; 聪明; 测验; 测试; 脑子; 天才; 情商; 智慧; 水平; 天赋; 弱智	16; 11; 6; 5; 5; 4; 4; 4; 4; 3; 3	Alter; Erfahrung; alt; wissen; klug; Klugheit; Wissen; Alt; Klug; weise; Bart; Bücher; Eule; Gandalf; Greis; Lebenserfahrung	16; 10; 10; 6; 5; 4; 4; 3; 3; 3; 2; 2; 2; 2; 2; 2	IQ; Wissen; schlau; Bildung; klug; Gehirn; Test; wissen; Klugheit; Schule; Dummheit; Elite; Emotionale Intelligenz	12; 9; 9; 7; 5; 4; 4; 4; 3; 3; 2; 2; 2	slim; oud; ervaring; ouderdom; filosoof; geleerd; grijs; intelligent; kennis; leeftijd; verstand; boeken; verstandig; filosofie; inzicht; rust; studeren; dom; intelligentie	37; 27; 10; 9; 7; 7; 6; 6; 6; 6; 6; 5; 5; 4; 4; 4; 4; 3; 3	slim; iq; test; verstand; hersenen; kennis; school; studeren; diploma; dom; hoogbegaafd; verstandig; wijsheid; brein; denken; hoog; ontwikkeling; opleiding; slimheid; studie	56; 35; 10; 10; 7; 7; 7; 5; 4; 4; 4; 4; 4; 3; 3; 3; 3; 3; 3; 3	conocimiento; experiencia; inteligencia; saber; libro; sabio; estudio; viejo; genio; vejez; anciano; edad; filosofía; lectura	18; 10; 10; 10; 6; 6; 5; 5; 4; 4; 3; 3; 3; 3	sabiduría; capacidad; cerebro; mente; conocimiento; saber; estudio; artificial; emocional; luz; rapidez; coeficiente; intelecto; intelectual; astucia; comprensión	11; 10; 9; 8; 7; 7; 5; 4; 4; 4; 4; 3; 3; 3; 2; 2
